Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Projection;Easting Coordinate;Northing Coordinate;Class Code;Postcode;Council Ward;Suburb;GISFid;Ownership;Road Name;Road Length;Left Locality;Right Locality;Road Classification;Feature_Type;Google Maps Direction
-38.118961802521426, 145.3220789821761;"{""coordinates"": [[[145.3225803414, -38.1184846855], [145.3216950891, -38.1183726076], [145.3216229983, -38.118735496], [145.3214949001, -38.1193799414], [145.3214537565, -38.1195853439], [145.3214453204, -38.1196278198], [145.3214240503, -38.1197349152]], [[145.3225803595, -38.1184846878], [145.3226628083, -38.1184951259], [145.3225912136, -38.1188555267], [145.3225813241, -38.118905309], [145.3225306577, -38.1190274602], [145.3224250499, -38.1195592362], [145.3224070108, -38.1196500391], [145.3223889706, -38.1197085446], [145.322344402, -38.119839946]], [[145.3223443991, -38.1198399547], [145.3223098043, -38.1199419501]]], ""type"": ""MultiLineString""}";-38.11927695642898;145.32220974544512;MGA2020 Zone 55;352927;5779621;Local Road;3978;Tooradin;Clyde;4605;Council;Kosciuszko Circuit;402;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.11927695642898,145.32220974544512/@your+location,17z/data=!4m2!4m1!3e0
-38.000646797089516, 145.2369895753212;"{""coordinates"": [[145.2371617871, -37.9997176963], [145.2369259016, -38.0009903319], [145.2368173588, -38.001575897]], ""type"": ""LineString""}";-38.000646797084805;145.2369895753427;MGA2020 Zone 55;345208;5792648;Local Road;3177;Waratah;Eumemmerring;4610;Council;Lace Street;208;EUMEMMERRING;EUMEMMERRING;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.000646797084805,145.2369895753427/@your+location,17z/data=!4m2!4m1!3e0
-38.07487777317636, 145.34631512358888;"{""coordinates"": [[145.3454490054, -38.0739140453], [145.3454347549, -38.0739999773], [145.3454324378, -38.0740139493], [145.3452098321, -38.0750754542], [145.3462572402, -38.075204745], [145.3471912121, -38.0753200207], [145.3471993971, -38.0753203486], [145.3472075783, -38.0753199824], [145.347215642, -38.0753189594], [145.3472235666, -38.0753172784], [145.3472312035, -38.0753149599], [145.3472385177, -38.0753120375], [145.3472453846, -38.0753085221], [145.3472517723, -38.0753044674], [145.3472575867, -38.0752999017], [145.347262759, -38.0752948864], [145.3472672597, -38.0752894777], [145.3472710395, -38.0752837272], [145.3472740205, -38.0752777095], [145.3472762018, -38.0752714607], [145.3475034939, -38.0741875208], [145.3475219193, -38.0740996496]], ""type"": ""LineString""}";-38.0748777732012;145.34631512359587;MGA2020 Zone 55;354954;5784591;Local Road;3806;Dillwynia;Berwick;4616;Council;Lakeside Drive;448;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.0748777732012,145.34631512359587/@your+location,17z/data=!4m2!4m1!3e0
-38.074692685145905, 145.29143968604652;"{""coordinates"": [[145.2916692053, -38.073467159], [145.2916532485, -38.07355195], [145.291602206, -38.0738231773], [145.2915291401, -38.0742166703], [145.2913849844, -38.0749851688], [145.2913554284, -38.07514273], [145.2913289818, -38.075283657], [145.2912285164, -38.0758190042], [145.2912099076, -38.0759181631]], ""type"": ""LineString""}";-38.07469268513695;145.29143968603927;MGA2020 Zone 55;350140;5784520;Local Road;3977;Casuarina;Cranbourne North;4620;Council;Lancashire Drive;274;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07469268513695,145.29143968603927/@your+location,17z/data=!4m2!4m1!3e0
-38.12754572467334, 145.30082238950197;"{""coordinates"": [[[145.3008628148, -38.1276305694], [145.3008610104, -38.1276404437], [145.3008685366, -38.1275992585], [145.3009603146, -38.1271584138], [145.3009751395, -38.1270872037]], [[145.3004827306, -38.12774], [145.3008345654, -38.127785158], [145.3008610104, -38.1276404437], [145.3008602585, -38.1276445585]]], ""type"": ""MultiLineString""}";-38.12755779612082;145.30081597079567;MGA2020 Zone 55;351070;5778669;Local Road;3977;Tooradin;Cranbourne East;4621;Council;Lance Terrace;111;CRANBOURNE EAST;CRANBOURNE EAST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12755779612082,145.30081597079567/@your+location,17z/data=!4m2!4m1!3e0
-38.120887534796104, 145.33991716416173;"{""coordinates"": [[[145.3387422376, -38.1204264711], [145.3394982893, -38.1205140049]], [[145.3394982878, -38.1205140048], [145.3396217572, -38.1205282993], [145.339733805, -38.1205426222], [145.3404464427, -38.1206260964], [145.3401807007, -38.1219498988], [145.3401664072, -38.1220211005]]], ""type"": ""MultiLineString""}";-38.120745677674165;145.33964626333074;MGA2020 Zone 55;354461;5779485;Local Road;3978;Tooradin;Clyde;4622;Council;Lancelot Avenue;307;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.120745677674165,145.33964626333074/@your+location,17z/data=!4m2!4m1!3e0
-38.032961160949995, 145.34343899515;"{""coordinates"": [[145.3433420566, -38.0329501846], [145.3435359337, -38.0329721373]], ""type"": ""LineString""}";-38.03296116099797;145.34343899516983;MGA2020 Zone 55;354619;5789234;Local Road;3806;Akoonah;Berwick;4626;Council;Langmore Lane;17;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.03296116099797,145.34343899516983/@your+location,17z/data=!4m2!4m1!3e0
-38.083807471849994, 145.2895821622;"{""coordinates"": [[145.2895928223, -38.0837398681], [145.2895715021, -38.0838750756]], ""type"": ""LineString""}";-38.083807471848985;145.28958216219738;MGA2020 Zone 55;349996;5783506;Collector Road;3977;Correa;Cranbourne North;4629;Council;Lansell Drive;15;CRANBOURNE NORTH;CRANBOURNE NORTH;level 4;Road Responsibilty;https://www.google.com.au/maps/dir//-38.083807471848985,145.28958216219738/@your+location,17z/data=!4m2!4m1!3e0
-38.10214394649254, 145.28926068024887;"{""coordinates"": [[[145.2827923985, -38.1007748496], [145.2828381362, -38.1007804555]], [[145.2917842351, -38.1026841745], [145.2918985098, -38.102697825]]], ""type"": ""MultiLineString""}";-38.10173432616685;145.28732831986835;MGA2020 Zone 55;349835;5781513;Local Road;3977;Correa;Cranbourne East;4631;Council;Latrobe Street;14;CRANBOURNE;CRANBOURNE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.10173432616685,145.28732831986835/@your+location,17z/data=!4m2!4m1!3e0
-38.02534684103446, 145.30912344905403;"{""coordinates"": [[[145.3074035107, -38.0235062225], [145.3076282895, -38.0235498565], [145.3077253773, -38.0235687085], [145.3077511779, -38.0235723828]], [[145.3103960719, -38.0265635086], [145.3103867312, -38.0266079136], [145.3103426368, -38.0268222939], [145.310307916, -38.0270003783]]], ""type"": ""MultiLineString""}";-38.02516085780483;145.30896430264622;MGA2020 Zone 55;351577;5790045;Local Road;3805;Casuarina;Narre Warren;4633;Council;Lauderdale Road;80;NARRE WARREN;NARRE WARREN;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.02516085780483,145.30896430264622/@your+location,17z/data=!4m2!4m1!3e0
-38.1425937889219, 145.2897836148959;"{""coordinates"": [[145.2891360968, -38.1424252171], [145.2892318527, -38.142455726], [145.2897673324, -38.1426263336], [145.2904453477, -38.1426935107]], ""type"": ""LineString""}";-38.14259378894096;145.28978361487174;MGA2020 Zone 55;350133;5776983;Local Road;3977;Cranbourne Gardens;Botanic Ridge;4643;Council;Legacy Court;119;BOTANIC RIDGE;BOTANIC RIDGE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.14259378894096,145.28978361487174/@your+location,17z/data=!4m2!4m1!3e0
-37.96607852551642, 145.2418551683389;"{""coordinates"": [[145.241907325, -37.9657354042], [145.241882637, -37.9657799785], [145.2418713726, -37.9658195715], [145.2418689427, -37.9658601186], [145.2418723177, -37.9659899838], [145.2418624285, -37.9661176221], [145.2418442615, -37.9662263045], [145.2418191856, -37.9663345269], [145.2417982741, -37.9664247766]], ""type"": ""LineString""}";-37.96607852556446;145.24185516832986;MGA2020 Zone 55;345563;5796492;Local Road;3802;Kalora;Endeavour Hills;4650;Council;Leprosa Close;77;ENDEAVOUR HILLS;ENDEAVOUR HILLS;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-37.96607852556446,145.24185516832986/@your+location,17z/data=!4m2!4m1!3e0
-38.12726003796861, 145.3208001306417;"{""coordinates"": [[145.3198808467, -38.1271450169], [145.3199831917, -38.1271578224], [145.3208069989, -38.1272608946], [145.3215952505, -38.1273595277], [145.321719414, -38.1273750637]], ""type"": ""LineString""}";-38.12726003797219;145.32080013067068;MGA2020 Zone 55;352821;5778734;Local Road;3978;Tooradin;Clyde;4651;Council;Levendale Street;163;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12726003797219,145.32080013067068/@your+location,17z/data=!4m2!4m1!3e0
-38.025251751532494, 145.32905613748542;"{""coordinates"": [[[145.3286406204, -38.0247619473], [145.3291482705, -38.0247964801]], [[145.3296384336, -38.0248298062], [145.3291482705, -38.0247964801], [145.328931757, -38.0259553436], [145.3289045149, -38.0260547733], [145.3288762463, -38.0261330411], [145.3288423113, -38.0262098837], [145.3288374374, -38.0262191619], [145.3288028227, -38.0262850558]]], ""type"": ""MultiLineString""}";-38.025074837307415;145.3289956013055;MGA2020 Zone 55;353335;5790085;Local Road;3806;Grevillea;Berwick;4653;Council;Lexcen Close;256;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.025074837307415,145.3289956013055/@your+location,17z/data=!4m2!4m1!3e0
-38.07253869204088, 145.32776546959224;"{""coordinates"": [[[145.3278367687, -38.070597811], [145.3278223852, -38.0706675493], [145.3275597302, -38.0719410009], [145.3274170786, -38.0726417595], [145.3272759485, -38.0733289919]], [[145.3273490844, -38.0733389777], [145.3272759485, -38.0733289919], [145.3272641255, -38.073386563]], [[145.3272639317, -38.0733875071], [145.3272462171, -38.0734737668]], [[145.3274146899, -38.0733479353], [145.3278785071, -38.0734112627], [145.3281635721, -38.0734199998], [145.3288142654, -38.0735007383], [145.3289440954, -38.0735141955]], [[145.3289522065, -38.0735150362], [145.3289972737, -38.0735197075]]], ""type"": ""MultiLineString""}";-38.07313747333221;145.32785172618102;MGA2020 Zone 55;353331;5784751;Local Road;3805;Kowan;Narre Warren South;4654;Council;Leyland Drive;469;NARRE WARREN SOUTH;NARRE WARREN SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07313747333221,145.32785172618102/@your+location,17z/data=!4m2!4m1!3e0
-38.05360042946906, 145.2461797180642;"{""coordinates"": [[[145.2448190382, -38.0534251411], [145.2449026946, -38.0534343116]], [[145.2449025867, -38.0534342998], [145.2464715763, -38.0536062836], [145.246605964, -38.0535929453], [145.2469422401, -38.0534916788], [145.2469695287, -38.0536448313], [145.247177754, -38.0540780313], [145.2472122845, -38.0541498694]]], ""type"": ""MultiLineString""}";-38.05351766121859;145.24554025080664;MGA2020 Zone 55;346071;5786794;Local Road;3975;Quarters;Lyndhurst;4658;Council;Limonium Crescent;267;LYNDHURST;LYNDHURST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.05351766121859,145.24554025080664/@your+location,17z/data=!4m2!4m1!3e0
-38.044325446138835, 145.32574455577273;"{""coordinates"": [[145.326331391, -38.0449694724], [145.3264465151, -38.044371844], [145.3262813779, -38.0443146244], [145.3261116023, -38.0442856602], [145.3257706164, -38.0441966268], [145.3249106914, -38.04409212], [145.3248590785, -38.0443597515], [145.3248506996, -38.0443890266], [145.3248396062, -38.0444277859]], ""type"": ""LineString""}";-38.04432544614902;145.3257445557925;MGA2020 Zone 55;353089;5787943;Local Road;3806;Akoonah;Berwick;4665;Council;Lisburn Way;243;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.04432544614902,145.3257445557925/@your+location,17z/data=!4m2!4m1!3e0
-38.050652474964394, 145.25072240307335;"{""coordinates"": [[145.2503482823, -38.049934437], [145.2503510212, -38.0500050004], [145.2503557718, -38.0501273876], [145.2503598575, -38.050174244], [145.2503684889, -38.0502207311], [145.2503815839, -38.05026656], [145.2503991069, -38.0503114617], [145.2504208991, -38.0503551645], [145.2504256209, -38.0503634797], [145.250452385, -38.0504054234], [145.250483143, -38.0504456216], [145.2505176433, -38.0504837757], [145.2512178073, -38.0512180326], [145.2512797561, -38.051282997]], ""type"": ""LineString""}";-38.05065247499438;145.2507224031026;MGA2020 Zone 55;346517;5787123;Local Road;3975;River Gum;Lynbrook;4667;Council;Litchfield Way;175;LYNBROOK;LYNBROOK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.05065247499438,145.2507224031026/@your+location,17z/data=!4m2!4m1!3e0
-38.043128053676924, 145.3582377874378;"{""coordinates"": [[145.3580822778, -38.0421808151], [145.3580623975, -38.0422618386], [145.358059223, -38.0422747859], [145.358059284, -38.0423375988], [145.3580596966, -38.0427623247], [145.3580655127, -38.0428402276], [145.3580800311, -38.0429204465], [145.3581029403, -38.0429994254], [145.3581340777, -38.0430766412], [145.358173235, -38.0431515168], [145.3581919289, -38.0431802539], [145.3582201358, -38.0432235771], [145.3583288767, -38.0433609311], [145.3583757779, -38.0434329905], [145.358414924, -38.0435078758], [145.358446061, -38.0435850816], [145.3584689706, -38.0436640685], [145.3584835019, -38.0437442966], [145.3584894468, -38.0438251815], [145.3584926451, -38.0439716404], [145.3584945591, -38.0440592874]], ""type"": ""LineString""}";-38.04312805370148;145.35823778744498;MGA2020 Zone 55;355937;5788129;Local Road;3806;Akoonah;Berwick;4674;Council;Loders Way;216;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.04312805370148,145.35823778744498/@your+location,17z/data=!4m2!4m1!3e0
-38.06697889565412, 145.26852953458976;"{""coordinates"": [[[145.2676606847, -38.0665752532], [145.2678602295, -38.0668600813], [145.2679027803, -38.0668889046], [145.2679665267, -38.0668857628], [145.2682358638, -38.066781974], [145.2684094149, -38.0667683527], [145.2685061807, -38.0667863351], [145.2686335226, -38.0668464025], [145.2687170231, -38.0669120365], [145.2687823994, -38.0670044587], [145.2689183338, -38.0671344893], [145.2693399856, -38.0674615677]], [[145.269340003, -38.0674615812], [145.2694137045, -38.0675187515]]], ""type"": ""MultiLineString""}";-38.06722320936883;145.26893443102222;MGA2020 Zone 55;348150;5785313;Local Road;3977;River Gum;Cranbourne North;4675;Council;Loganberry Close;211;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.06722320936883,145.26893443102222/@your+location,17z/data=!4m2!4m1!3e0
-38.047370118900005, 145.25409735605;"{""coordinates"": [[145.2541033107, -38.0473365288], [145.2540914014, -38.047403709]], ""type"": ""LineString""}";-38.04737011890835;145.25409735606257;MGA2020 Zone 55;346807;5787491;Local Road;3975;River Gum;Lynbrook;4682;Council;Lower Mews;7;LYNBROOK;LYNBROOK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.04737011890835,145.25409735606257/@your+location,17z/data=!4m2!4m1!3e0
-38.07838733542351, 145.33152621783952;"{""coordinates"": [[[145.3297885205, -38.0781928444], [145.3298775354, -38.0782014021], [145.3326097773, -38.07846404], [145.3328041397, -38.0785503686], [145.3330852886, -38.0787701136]], [[145.3330852837, -38.0787701098], [145.3331688145, -38.0788353968]]], ""type"": ""MultiLineString""}";-38.078588574803874;145.33230170280757;MGA2020 Zone 55;353733;5784153;Local Road;3977;Kowan;Cranbourne North;4683;Council;Lucinda Lane;313;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.078588574803874,145.33230170280757/@your+location,17z/data=!4m2!4m1!3e0
-38.12313414427325, 145.2318550129843;"{""coordinates"": [[[145.2326629475, -38.1234494467], [145.2325716378, -38.1234518116]], [[145.2326354069, -38.1227859591], [145.2325904056, -38.1227698742], [145.232510464, -38.1227413004], [145.2315052079, -38.1227673342], [145.2313947724, -38.1228078783], [145.2312734077, -38.1234854268], [145.2325716125, -38.1234518122]]], ""type"": ""MultiLineString""}";-38.12328792960817;145.2322254175395;MGA2020 Zone 55;345047;5779031;Local Road;3977;Cranbourne Gardens;Cranbourne South;4688;Council;Luster Circuit;308;CRANBOURNE SOUTH;CRANBOURNE SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12328792960817,145.2322254175395/@your+location,17z/data=!4m2!4m1!3e0
-38.18726620581598, 145.34554266605642;"{""coordinates"": [[[145.345769765, -38.187135948], [145.3455798179, -38.1871650659], [145.3453942209, -38.1872176117], [145.3452773766, -38.1872496028], [145.3451869088, -38.1872939935]], [[145.3458482002, -38.1872144255], [145.3458315131, -38.187217269], [145.3456694746, -38.1872920718], [145.3455549035, -38.1873765037], [145.3454209218, -38.1875090692]]], ""type"": ""MultiLineString""}";-38.18727127148679;145.345547938642;MGA2020 Zone 55;355109;5772114;Local Road;3977;Tooradin;Devon Meadows;4698;Council;Lynes Road;104;TOORADIN;TOORADIN;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.18727127148679,145.345547938642/@your+location,17z/data=!4m2!4m1!3e0
-38.097139196818766, 145.3620322034502;"{""coordinates"": [[[145.3619897429, -38.0963609723], [145.361995987, -38.096432863]], [[145.3619959835, -38.0964328223], [145.362075757, -38.0973512723], [145.3619967633, -38.0978510191]], [[145.3619967666, -38.0978509983], [145.3619867519, -38.097914355]]], ""type"": ""MultiLineString""}";-38.0971409684726;145.36200687755004;MGA2020 Zone 55;356374;5782141;Local Road;3978;Dillwynia;Clyde North;4699;Council;Mabillon Way;173;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.0971409684726,145.36200687755004/@your+location,17z/data=!4m2!4m1!3e0
-38.11445051273385, 145.3206548228554;"{""coordinates"": [[[145.3217135567, -38.1113814587], [145.3217598863, -38.1114409449]], [[145.321759515, -38.1114404682], [145.3218268102, -38.1115268735], [145.3218396114, -38.1115393719], [145.3218517202, -38.111552321], [145.3218631108, -38.1115656508], [145.3218737616, -38.1115793613], [145.321883662, -38.1115934151], [145.3218927769, -38.1116078047], [145.3219011072, -38.111622485], [145.3219086386, -38.1116374377], [145.3219153399, -38.1116526273], [145.3219212102, -38.1116680429], [145.3219262245, -38.1116836329], [145.3219303981, -38.1116993775], [145.3219337041, -38.1117152522], [145.3219361434, -38.1117312181], [145.3219377177, -38.1117472591], [145.3219384251, -38.1117633471], [145.321938243, -38.1117794279], [145.3219371704, -38.1117954941], [145.3219352447, -38.1118115076], [145.3219324503, -38.1118274519], [145.3219287785, -38.1118432629], [145.321726836, -38.1128037398], [145.3217210934, -38.112828935], [145.3217145083, -38.1128540163], [145.3217070885, -38.112878936], [145.321698825, -38.1129036869], [145.3216897524, -38.1129282613], [145.3216798436, -38.1129526381], [145.3216691152, -38.1129767923], [145.3216575867, -38.1130007234], [145.3216452474, -38.1130243959], [145.3216321329, -38.1130477996], [145.3216182862, -38.1130707999], [145.3216035487, -38.1130937487], [145.3215881038, -38.1131162576], [145.3215719158, -38.1131384449], [145.3215549968, -38.1131602739], [145.3215373348, -38.1131817256], [145.3215189523, -38.11320281], [145.3214998735, -38.1132235186], [145.3214801084, -38.1132438137], [145.3214596803, -38.1132636704], [145.3214385777, -38.1132830957], [145.321416835, -38.113302081], [145.3213944504, -38.1133206093], [145.3210824104, -38.1135720584], [145.3208905041, -38.1137267009], [145.3208682791, -38.1137451196], [145.3208466721, -38.1137639968], [145.3208257387, -38.1137833406], [145.3208054808, -38.1138031238], [145.3207858978, -38.1138233196], [145.3207671625, -38.113843814]], [[145.3207671534, -38.113843824], [145.3207670243, -38.1138439652], [145.3207493914, -38.1138643267], [145.3207324671, -38.1138850741], [145.3207162162, -38.1139061529], [145.3207006861, -38.1139275808], [145.3206858756, -38.1139493137], [145.3206717962, -38.1139713508], [145.3206584474, -38.1139936561], [145.3206458643, -38.1140162481], [145.3206340223, -38.1140390994], [145.3206229576, -38.1140621817], [145.3206126464, -38.1140854794], [145.3206031344, -38.1141089912], [145.3205943984, -38.114132689], [145.3205864613, -38.1141565658], [145.3205793121, -38.1141806017], [145.3205743175, -38.1141994172], [145.320567454, -38.1142290562], [145.32043164, -38.1148747747], [145.3203636309, -38.1151981114], [145.3203579574, -38.1152230992], [145.3203514256, -38.1152479631], [145.3203440847, -38.1152726928], [145.3203359108, -38.1152972367], [145.3203269384, -38.1153216304], [145.3203171326, -38.1153458094], [145.3203065502, -38.1153697817], [145.3202951574, -38.1153935244], [145.3202829877, -38.1154170243], [145.3202700184, -38.115440274], [145.3202562974, -38.1154632291], [145.3202418085, -38.1154858893], [145.3202265784, -38.1155082442], [145.3202105937, -38.1155302775], [145.3202039043, -38.115538962], [145.3201938899, -38.1155519787], [145.3201764545, -38.1155733045], [145.3201583336, -38.1155942798], [145.3201394928, -38.1156148609], [145.3201199994, -38.1156350479], [145.3200998334, -38.1156548206], [145.3200790134, -38.115674165], [145.3198747277, -38.1158590009]], [[145.3198745621, -38.1158591731], [145.3197169407, -38.1160477849], [145.3196325094, -38.1161917182], [145.3195834781, -38.1162753058], [145.3195064527, -38.1166059449], [145.3194684737, -38.1167976807], [145.319298277, -38.1175969971]]], ""type"": ""MultiLineString""}";-38.11393321675375;145.32080300103223;MGA2020 Zone 55;352795;5780214;Local Road;3978;Correa;Clyde North;4702;Council;Mackillop Way;753;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.11393321675375,145.32080300103223/@your+location,17z/data=!4m2!4m1!3e0
-38.06807036669274, 145.29348468985185;"{""coordinates"": [[[145.2935388002, -38.0673582334], [145.2935251704, -38.0674292367], [145.2934994746, -38.0675630959], [145.2934886053, -38.0676421863], [145.2934862138, -38.0677217053], [145.2934923469, -38.0678011138], [145.2935197948, -38.0679491739], [145.2935251955, -38.0680191436], [145.2935232092, -38.0680853462], [145.2935230986, -38.0680892206], [145.2935135144, -38.0681589204], [145.2934079205, -38.0687091268]], [[145.2934079159, -38.0687091506], [145.2933941965, -38.0687806365]]], ""type"": ""MultiLineString""}";-38.06838969906103;145.29344509628706;MGA2020 Zone 55;350303;5785223;Local Road;3805;Casuarina;Narre Warren South;4708;Council;Magnolia Drive;159;NARRE WARREN SOUTH;NARRE WARREN SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.06838969906103,145.29344509628706/@your+location,17z/data=!4m2!4m1!3e0
-38.14168382314191, 145.25083250575813;"{""coordinates"": [[145.2482774659, -38.143476424], [145.2484378461, -38.1434954391], [145.2494721993, -38.1436180687], [145.2495934477, -38.1436324492], [145.2497465685, -38.143575278], [145.2499458664, -38.143487408], [145.2499945651, -38.1434363806], [145.2502881055, -38.1431287553], [145.2504308158, -38.1429462856], [145.2506201903, -38.142630309], [145.25062847, -38.1426157334], [145.2506359378, -38.1426008988], [145.2506426172, -38.1425858227], [145.2506484744, -38.1425705315], [145.2506535232, -38.1425550715], [145.2506577474, -38.1425394505], [145.250661106, -38.1425237148], [145.2506636426, -38.1425078542], [145.2506653234, -38.1424919412], [145.2506661484, -38.1424759848], [145.2506660803, -38.1424592013], [145.2506652669, -38.1424440505], [145.2506635244, -38.142428145], [145.2506609519, -38.1424123038], [145.2506575338, -38.1423965636], [145.2506532726, -38.1423809604], [145.2506481797, -38.1423654944], [145.2505782661, -38.1421701611], [145.2505588341, -38.142082772], [145.2503183875, -38.1414109973], [145.2502989792, -38.1409675851], [145.2503477306, -38.1408883779], [145.2507579236, -38.1406516061], [145.2510097159, -38.1405767863], [145.2512799109, -38.1405172437], [145.2515956862, -38.140426931], [145.2518927363, -38.1403279623], [145.2523638762, -38.1401415058], [145.2529131087, -38.1398585351], [145.2533931261, -38.1404396213], [145.2534429259, -38.1404999059]], ""type"": ""LineString""}";-38.141683823127785;145.25083250576733;MGA2020 Zone 55;346719;5777021;Local Road;3977;Cranbourne Gardens;Botanic Ridge;4712;Council;Maintop Ridge;802;BOTANIC RIDGE;BOTANIC RIDGE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.141683823127785,145.25083250576733/@your+location,17z/data=!4m2!4m1!3e0
-38.11458113395, 145.32779987685;"{""coordinates"": [[145.3277633671, -38.1145765694], [145.3278363866, -38.1145856985]], ""type"": ""LineString""}";-38.11458113392963;145.32779987682386;MGA2020 Zone 55;353409;5780152;Local Road;3978;Correa;Clyde North;4715;Council;Malbec Place;6;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.11458113392963,145.32779987682386/@your+location,17z/data=!4m2!4m1!3e0
-38.100477120312945, 145.2716395662269;"{""coordinates"": [[[145.271079082, -38.1004702883], [145.2709838717, -38.1004769393]], [[145.2722856389, -38.1005759671], [145.2721747284, -38.1005398938], [145.2720675052, -38.1005110281], [145.2719517901, -38.1004861009], [145.2718408763, -38.1004679453], [145.2717221488, -38.1004545203], [145.271609246, -38.1004473602], [145.2714893289, -38.1004456579], [145.2713695122, -38.1004499994], [145.2710791258, -38.1004702852]]], ""type"": ""MultiLineString""}";-38.100475504018235;145.271359269185;MGA2020 Zone 55;348432;5781627;Local Road;3977;Quarters;Cranbourne;4720;Council;Mallory Court;116;CRANBOURNE;CRANBOURNE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.100475504018235,145.271359269185/@your+location,17z/data=!4m2!4m1!3e0
-38.077128072084555, 145.2895886729001;"{""coordinates"": [[145.2901612995, -38.0782782496], [145.2901743764, -38.0782088943], [145.2904600808, -38.0766935761], [145.2903220865, -38.0766906391], [145.2894970503, -38.0767235082], [145.2893259266, -38.0767303333], [145.2892054962, -38.0767303254], [145.2890856554, -38.0767210096], [145.2889851005, -38.0767092692], [145.2889468304, -38.0767067121], [145.28890845, -38.0767078582], [145.2888388257, -38.0767197014], [145.2887743308, -38.0767436122], [145.2887157205, -38.0767804018], [145.2886827535, -38.0768113639], [145.2886573868, -38.0768448383], [145.2886389485, -38.0768810369], [145.2886278695, -38.0769191343], [145.2885534407, -38.0773159161], [145.2885303471, -38.0773951603], [145.2884919771, -38.0774706214], [145.2884392604, -38.0775404593], [145.2884042253, -38.0775761926], [145.2883066414, -38.0776539133], [145.2882449009, -38.0777030865]], ""type"": ""LineString""}";-38.07712807208543;145.28958867290547;MGA2020 Zone 55;349984;5784244;Local Road;3977;Correa;Cranbourne North;4721;Council;Maltravers Crescent;447;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07712807208543,145.28958867290547/@your+location,17z/data=!4m2!4m1!3e0
