Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Projection;Easting Coordinate;Northing Coordinate;Class Code;Postcode;Council Ward;Suburb;GISFid;Ownership;Road Name;Road Length;Left Locality;Right Locality;Road Classification;Feature_Type;Google Maps Direction
-38.03691856692152, 145.25661331623894;"{""coordinates"": [[145.2564154767, -38.036887993], [145.2567100222, -38.0369335118], [145.2568111558, -38.0369491407]], ""type"": ""LineString""}";-38.0369185669046;145.25661331624946;MGA2020 Zone 55;347006;5788655;Local Road;3976;River Gum;Hampton Park;6877;Council;Susan Court;35;HAMPTON PARK;HAMPTON PARK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.0369185669046,145.25661331624946/@your+location,17z/data=!4m2!4m1!3e0
-38.07322523119838, 145.2908955553185;"{""coordinates"": [[145.2884882877, -38.0715135491], [145.2884696581, -38.071610482], [145.2881912156, -38.073059236], [145.2886308925, -38.0731106952], [145.2892028294, -38.0731778018], [145.2892945759, -38.0731884857], [145.2897166747, -38.0732376382], [145.2901641902, -38.0732906143], [145.2906943634, -38.073352399], [145.2916692053, -38.073467159], [145.2932568872, -38.0736524931], [145.2933452534, -38.0736635391], [145.2946763032, -38.0738202], [145.2948075311, -38.0738356443]], ""type"": ""LineString""}";-38.07322523121763;145.29089555533292;MGA2020 Zone 55;350079;5784687;Local Road;3977;Casuarina;Cranbourne North;6878;Council;Sussex Avenue;760;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07322523121763,145.29089555533292/@your+location,17z/data=!4m2!4m1!3e0
-37.97785203351867, 145.25107899993236;"{""coordinates"": [[145.2512733719, -37.9769971073], [145.2511038462, -37.9778944034], [145.2510869995, -37.9779485586], [145.2508477175, -37.9785974291], [145.2508144808, -37.9786875575]], ""type"": ""LineString""}";-37.977852033516626;145.25107899992895;MGA2020 Zone 55;346397;5795201;Local Road;3802;Kalora;Endeavour Hills;6879;Council;Sutherland Court;192;ENDEAVOUR HILLS;ENDEAVOUR HILLS;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-37.977852033516626,145.25107899992895/@your+location,17z/data=!4m2!4m1!3e0
-38.01228907045387, 145.29626474582355;"{""coordinates"": [[[145.2968638646, -38.0097989476], [145.2968457435, -38.0098911704]], [[145.2968456409, -38.0098916924], [145.2967256784, -38.0105022026], [145.2963764137, -38.0122781451], [145.2962446908, -38.0129478865], [145.296187753, -38.0132374232], [145.2961694888, -38.0133303173], [145.2961588825, -38.0133667411], [145.2961330549, -38.013438627], [145.2961096779, -38.0134915503], [145.2960732699, -38.0135605071], [145.2960421302, -38.013610864], [145.2959956755, -38.0136759361], [145.2959572346, -38.0137230321], [145.2959013637, -38.0137832977], [145.2958404725, -38.0138404301], [145.2953726696, -38.0142394296], [145.2951671649, -38.0144204744]], [[145.295167144, -38.0144204928], [145.2951106131, -38.014470295]]], ""type"": ""MultiLineString""}";-38.01219764960181;145.29608809694653;MGA2020 Zone 55;350421;5791464;Local Road;3805;Casuarina;Narre Warren;6880;Council;Sweet Gum Avenue;555;NARRE WARREN;NARRE WARREN;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.01219764960181,145.29608809694653/@your+location,17z/data=!4m2!4m1!3e0
-38.115195441872906, 145.34475443842757;"{""coordinates"": [[[145.3442831999, -38.1152448545], [145.3443335084, -38.1148866074], [145.3452126568, -38.1149967811], [145.345216899, -38.1149973127], [145.3452167862, -38.1149929556], [145.3451985499, -38.1142887909], [145.3451112175, -38.1138069781], [145.3451443242, -38.1135196367], [145.3444707114, -38.113435953], [145.3442249584, -38.113439793], [145.3441405383, -38.113441112]], [[145.3442831875, -38.1152449432], [145.3442816726, -38.1152557307], [145.3441972506, -38.1156029385], [145.3439640686, -38.1161307202], [145.343918039, -38.1162311568], [145.3441472987, -38.1162618164], [145.3454272153, -38.1164329698], [145.3453637943, -38.1167488671], [145.3453093626, -38.1170199717], [145.3452896589, -38.1171181084]]], ""type"": ""MultiLineString""}";-38.11526099661887;145.34474733115428;MGA2020 Zone 55;354897;5780103;Local Road;3978;Dillwynia;Clyde North;6882;Council;Swindale Way;697;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.11526099661887,145.34474733115428/@your+location,17z/data=!4m2!4m1!3e0
-38.06926031754007, 145.2735982800015;"{""coordinates"": [[145.2734832111, -38.0691209792], [145.2736660481, -38.0693423788], [145.273713349, -38.0693996558]], ""type"": ""LineString""}";-38.0692603175275;145.27359827998015;MGA2020 Zone 55;348564;5785094;Local Road;3977;River Gum;Cranbourne North;6885;Council;Tad Court;36;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.0692603175275,145.27359827998015/@your+location,17z/data=!4m2!4m1!3e0
-38.15009031739926, 145.2790231760425;"{""coordinates"": [[145.2782681434, -38.1499951371], [145.2788019163, -38.1500624344], [145.2796969794, -38.1501752455], [145.2797782105, -38.1501854833]], ""type"": ""LineString""}";-38.15009031740147;145.27902317601917;MGA2020 Zone 55;349206;5776134;Local Road;3977;Cranbourne Gardens;Botanic Ridge;6886;Council;Taj Rise;134;BOTANIC RIDGE;BOTANIC RIDGE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.15009031740147,145.27902317601917/@your+location,17z/data=!4m2!4m1!3e0
-38.09221196596899, 145.2614059207143;"{""coordinates"": [[145.2614800505, -38.0919609875], [145.2613513279, -38.0923967989], [145.2613317908, -38.0924629444]], ""type"": ""LineString""}";-38.09221196595117;145.2614059207171;MGA2020 Zone 55;347542;5782527;Local Road;3977;Quarters;Cranbourne West;6887;Council;Taldra Place;57;CRANBOURNE WEST;CRANBOURNE WEST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.09221196595117,145.2614059207171/@your+location,17z/data=!4m2!4m1!3e0
-38.11973264450566, 145.3455242078043;"{""coordinates"": [[[145.3455958862, -38.1193756444], [145.3455816003, -38.1194467971]], [[145.3455816138, -38.1194467301], [145.3454664431, -38.1200203457], [145.3454525183, -38.1200896982]]], ""type"": ""MultiLineString""}";-38.11958971744746;145.345552904694;MGA2020 Zone 55;354975;5779624;Local Road;3978;Dillwynia;Clyde North;6889;Council;Talmalmo Lane;80;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.11958971744746,145.345552904694/@your+location,17z/data=!4m2!4m1!3e0
-38.03794624449828, 145.31540816610647;"{""coordinates"": [[145.317042158, -38.0372878361], [145.3168993951, -38.0373140475], [145.3158527249, -38.0375062106], [145.3153228623, -38.0376023846], [145.3152520362, -38.0376194987], [145.315182969, -38.0376406076], [145.3150942056, -38.0376747781], [145.3150428473, -38.0377004269], [145.3149813851, -38.0377368766], [145.3149160407, -38.0377844175], [145.3148661884, -38.0378296121], [145.3148093615, -38.037895735], [145.3147745795, -38.0379490337], [145.3147469152, -38.0380048821], [145.3147266764, -38.0380626844], [145.3146863206, -38.0382649833], [145.3145952206, -38.0387437973], [145.3145852885, -38.0388257803], [145.3145825111, -38.0389081127], [145.3145917864, -38.0390313788], [145.3146117578, -38.0391330769], [145.3146427278, -38.0392330249], [145.3146515803, -38.0392531304], [145.3146940422, -38.0393495681]], ""type"": ""LineString""}";-38.03794624448243;145.31540816611837;MGA2020 Zone 55;352163;5788630;Local Road;3805;Casuarina;Narre Warren;6892;Council;Tamarisk Road;376;NARRE WARREN;NARRE WARREN;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.03794624448243,145.31540816611837/@your+location,17z/data=!4m2!4m1!3e0
