ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON
14153;1305;-38.0729712353;145.2670935103;-38.072981969;145.2671566143
14154;1305;-38.072981969;145.2671566143;-38.0729986633;145.2672175997
14155;1305;-38.0729986633;145.2672175997;-38.0730210658;145.267275596
14156;1305;-38.0730210658;145.267275596;-38.073048856;145.2673297134
14157;1305;-38.073048856;145.2673297134;-38.0730816287;145.2673791875
14158;1305;-38.0730816287;145.2673791875;-38.0731188912;145.2674232879
14159;1305;-38.0731188912;145.2674232879;-38.0731600947;145.2674613502
14160;1305;-38.0731600947;145.2674613502;-38.0732046561;145.2674928136
14161;1305;-38.0732046561;145.2674928136;-38.07369316;145.2678029166
14162;1305;-38.07369316;145.2678029166;-38.0737711001;145.2678523935
14163;1306;-38.0980514648;145.2675788116;-38.098035746;145.2674525399
14164;1306;-38.098035746;145.2674525399;-38.0979639267;145.2668756211
14165;1306;-38.0979639267;145.2668756211;-38.0979588671;145.266801194
14166;1306;-38.0979588671;145.266801194;-38.0979619778;145.2667266024
14167;1306;-38.0979619778;145.2667266024;-38.0979732031;145.2666532719
14168;1306;-38.0979732031;145.2666532719;-38.0979921415;145.26658317
14169;1306;-38.0979921415;145.26658317;-38.0980152626;145.2665240286
14170;1306;-38.0980152626;145.2665240286;-38.0980481119;145.2664619569
14171;1306;-38.0980481119;145.2664619569;-38.0980874062;145.2664062239
14172;1306;-38.0980874062;145.2664062239;-38.0981324132;145.2663578972
14173;1306;-38.0981324132;145.2663578972;-38.0981822762;145.266317899
14174;1306;-38.0981822762;145.266317899;-38.0982360187;145.2662870018
14175;1306;-38.0982360187;145.2662870018;-38.0983179579;145.266252919
14176;1306;-38.0983179579;145.266252919;-38.0989784777;145.2661277904
14177;1306;-38.0989784777;145.2661277904;-38.0997238346;145.2659865881
14178;1306;-38.0997238346;145.2659865881;-38.0997786965;145.2659833617
14179;1306;-38.0997786965;145.2659833617;-38.0998329237;145.2659944065
14180;1306;-38.0998329237;145.2659944065;-38.0998842202;145.2660192352
14181;1306;-38.0998842202;145.2660192352;-38.0999183197;145.2660470136
14182;1306;-38.0999183197;145.2660470136;-38.0999764941;145.2660943842
14183;1306;-38.0999764941;145.2660943842;-38.100027682;145.2661191893
14184;1306;-38.100027682;145.2661191893;-38.1000818011;145.2661302346
14185;1306;-38.1000818011;145.2661302346;-38.100136555;145.2661270187
14186;1306;-38.100136555;145.2661270187;-38.1007450383;145.2660106513
14187;1306;-38.1007450383;145.2660106513;-38.101162641;145.2659307959
14188;1306;-38.101162641;145.2659307959;-38.1012730446;145.2668554426
14189;1306;-38.1012730446;145.2668554426;-38.101284588;145.2669521243
14190;1307;-38.0336368731;145.3309508981;-38.0336886679;145.3313759571
14191;1307;-38.0336886679;145.3313759571;-38.0337405504;145.3318017224
14192;1307;-38.0337405504;145.3318017224;-38.0336886679;145.3313759571
14193;1307;-38.0336886679;145.3313759571;-38.0342653116;145.3312855893
14194;1307;-38.0342653116;145.3312855893;-38.0343405762;145.3312737943
14195;1308;-38.1087114;145.3360422584;-38.1087702292;145.3360329986
14196;1308;-38.1087702292;145.3360329986;-38.1090209012;145.3359935424
14197;1308;-38.1090209012;145.3359935424;-38.1092433296;145.3359533928
14198;1308;-38.1092433296;145.3359533928;-38.1093330528;145.3359371971
