Location Coordinate;Feature Extent;Postcode;Projection;Latitude Coordinate;Longitude Coordinate;Location;Bin Type;Bin Type (other);Number of Bins;Bin Size;Bin Size (other);Waste Type;Waste Type (other);Bin Colours;Bin Colours (other);Stand Condition;Stand Condition - other;Plate Fitting;Locking;Locking - other;Key Requirement;Bin Condition;Bin Condition - other;Date;Easting Coordinate;Northing Coordinate;GISFid;Google Maps Direction;Property_Address;Suburb;Last Modification Date;Council Ward
-38.0400123122, 145.330194589;"{""coordinates"": [145.330194589, -38.0400123122], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.040012312196325;145.3301945889975;;Stand;;1;240lt;;General;;Green;;3- Good;;;;;no;1- Poor;;2022-08-24;353470;5788431;1432;https://www.google.com.au/maps/dir//-38.040012312196325,145.3301945889975/@your+location,17z/data=!4m2!4m1!3e0;Melzac Way Berwick 3806;Berwick;2025-05-26;Casuarina
-38.0399101787, 145.329032857;"{""coordinates"": [145.329032857, -38.0399101787], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.03991017869633;145.3290328569975;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;5- Excellent;;2022-08-24;353368;5788440;1434;https://www.google.com.au/maps/dir//-38.03991017869633,145.3290328569975/@your+location,17z/data=!4m2!4m1!3e0;Melzac Way Berwick 3806;Berwick;2025-05-26;Casuarina
-38.039715869, 145.328734668;"{""coordinates"": [145.328734668, -38.039715869], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.039715868996325;145.3287346679975;;Compound;;11;240lt;;General,Recycle;;Green;;2- Average,3- Good;;;Working;;yes;3- Good;;2022-08-24;353341;5788461;1435;https://www.google.com.au/maps/dir//-38.039715868996325,145.3287346679975/@your+location,17z/data=!4m2!4m1!3e0;Melzac Way Berwick 3806;Berwick;2025-05-26;Casuarina
-38.0539781135, 145.333426232;"{""coordinates"": [145.333426232, -38.0539781135], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.05397811349633;145.3334262319976;;Free Standing;;8;240lt;;General,Recycle;;Green,Yellow;;;;;Other;;no;3- Good;;2022-08-24;353782;5786886;1439;https://www.google.com.au/maps/dir//-38.05397811349633,145.3334262319976/@your+location,17z/data=!4m2!4m1!3e0;34 Homestead Rd Berwick 3806;Berwick;2025-05-26;Akoonah
-38.0538952549, 145.332908029;"{""coordinates"": [145.332908029, -38.0538952549], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.05389525489632;145.3329080289976;;Stand;;1;240lt;;Dog Poo;;Green;;5- Excellent;;;;;no;4- Very Good;;2022-08-24;353736;5786894;1440;https://www.google.com.au/maps/dir//-38.05389525489632,145.3329080289976/@your+location,17z/data=!4m2!4m1!3e0;34 Homestead Rd Berwick 3806;Berwick;2025-05-26;Akoonah
-38.0638399766, 145.330458299;"{""coordinates"": [145.330458299, -38.0638399766], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.06383997659631;145.33045829899754;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;4- Very Good;;2022-08-24;353541;5785787;1445;https://www.google.com.au/maps/dir//-38.06383997659631,145.33045829899754/@your+location,17z/data=!4m2!4m1!3e0;Moondara Drv Berwick 3806;Berwick;2025-05-26;Kowan
-38.0594629376, 145.360487374;"{""coordinates"": [145.360487374, -38.0594629376], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.05946293759639;145.3604873739977;;Stand;;1;240lt;;General;;Green;;3- Good;;;Working;;no;3- Good;;2022-08-24;356167;5786320;1448;https://www.google.com.au/maps/dir//-38.05946293759639,145.3604873739977/@your+location,17z/data=!4m2!4m1!3e0;3 Kingsmere Drv Berwick 3806;Berwick;2025-05-26;Akoonah
-38.0538944202, 145.354107572;"{""coordinates"": [145.354107572, -38.0538944202], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.05389442019638;145.3541075719977;;Stand;;1;240lt;;General;;Green;;4- Very Good;;;Working;;no;3- Good;;2022-08-24;355596;5786928;1449;https://www.google.com.au/maps/dir//-38.05389442019638,145.3541075719977/@your+location,17z/data=!4m2!4m1!3e0;54-60 Chirnside Rd Berwick 3806;Berwick;2025-05-26;Akoonah
-37.9853001553, 145.239551669;"{""coordinates"": [145.239551669, -37.9853001553], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.985300155296095;145.23955166899688;;Cage;;1;240lt;;General;;Green;;3- Good;;;Not Working;;yes;3- Good;;2022-08-23;345401;5794355;1451;https://www.google.com.au/maps/dir//-37.985300155296095,145.23955166899688/@your+location,17z/data=!4m2!4m1!3e0;1-11 Linden Pl Doveton 3177;Doveton;2025-05-26;Waratah
-37.9851185468, 145.23955877;"{""coordinates"": [145.23955877, -37.9851185468], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.98511854679612;145.23955876999685;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-23;345401;5794375;1452;https://www.google.com.au/maps/dir//-37.98511854679612,145.23955876999685/@your+location,17z/data=!4m2!4m1!3e0;1-11  Linden Pl Doveton 3177;Doveton;2025-05-26;Waratah
-37.9954501335, 145.234073354;"{""coordinates"": [145.234073354, -37.9954501335], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.99545013349611;145.23407335399682;;Cage;;2;120lt;;General;;Green;;2- Average;;;Working;;yes;3- Good;;2022-08-23;344941;5793219;1458;https://www.google.com.au/maps/dir//-37.99545013349611,145.23407335399682/@your+location,17z/data=!4m2!4m1!3e0;36 Box St Doveton 3177;Doveton;2025-05-26;Waratah
-37.9961830471, 145.2312971;"{""coordinates"": [145.2312971, -37.9961830471], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.996183047096075;145.23129709999682;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-23;344699;5793134;1459;https://www.google.com.au/maps/dir//-37.996183047096075,145.23129709999682/@your+location,17z/data=!4m2!4m1!3e0;61 Box St Doveton 3177;Doveton;2025-05-26;Waratah
-37.98864407, 145.231626174;"{""coordinates"": [145.231626174, -37.98864407], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.98864406999609;145.23162617399683;;Compound;;12;240lt;;General,Recycle;;Green,Yellow;;;;;;;yes;2- Average,3- Good;;2022-08-23;344712;5793971;1463;https://www.google.com.au/maps/dir//-37.98864406999609,145.23162617399683/@your+location,17z/data=!4m2!4m1!3e0;Kidds Rd Doveton 3177;Doveton;2025-05-26;Waratah
-37.9850948369, 145.233147657;"{""coordinates"": [145.233147657, -37.9850948369], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.98509483689611;145.2331476569968;;Free Standing;;4;240lt;;General,Recycle;;Blue,Green;;;;;;;no;2- Average;;2022-08-23;344838;5794367;1464;https://www.google.com.au/maps/dir//-37.98509483689611,145.2331476569968/@your+location,17z/data=!4m2!4m1!3e0;182 Kidds Rd Doveton 3177;Doveton;2025-05-26;Waratah
-37.9849098903, 145.233240361;"{""coordinates"": [145.233240361, -37.9849098903], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.9849098902961;145.23324036099677;;Free Standing;;2;240lt;;General,Recycle;;Blue,Green;;;;;;;no;2- Average;;2022-08-23;344845;5794388;1469;https://www.google.com.au/maps/dir//-37.9849098902961,145.23324036099677/@your+location,17z/data=!4m2!4m1!3e0;182 Kidds Rd Doveton 3177;Doveton;2025-05-26;Waratah
-37.9831991019, 145.233066352;"{""coordinates"": [145.233066352, -37.9831991019], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.983199101896076;145.2330663519968;;Free Standing;;2;240lt;;General,Recycle;;Blue,Green;;;;;;;no;2- Average;;2022-08-23;344827;5794577;1474;https://www.google.com.au/maps/dir//-37.983199101896076,145.2330663519968/@your+location,17z/data=!4m2!4m1!3e0;182 Kidds Rd Doveton 3177;Doveton;2025-05-26;Waratah
-37.9835647624, 145.232508956;"{""coordinates"": [145.232508956, -37.9835647624], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.983564762396114;145.23250895599682;;Free Standing;;2;240lt;;General,Recycle;;Blue,Green;;;;;;;no;2- Average;;2022-08-23;344778;5794536;1477;https://www.google.com.au/maps/dir//-37.983564762396114,145.23250895599682/@your+location,17z/data=!4m2!4m1!3e0;182 Kidds Rd Doveton 3177;Doveton;2025-05-26;Waratah
