Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Road Name;Installed Year;Range;Counter Type;Installed Date;Easting Coordinate;Northing Coordinate;Projection;Postcode;85th Percentile (Kmh);Volume in 12Hours;Volume in 24Hours;Commercial Vehicles (%);Peak Volume (%);GISFid
-38.0511440024, 145.3632720198;"{""coordinates"": [145.3632720198, -38.0511440024], ""type"": ""Point""}";-38.051144002396654;145.3632720198088;Adamson Road;2022;Between 40km/h and 50km/h;W;2022-08-24;356395;5787247;MGA2020 zone 55;3807;42.6;287;355;6.48;9.46;486
-38.025323004, 145.3588330248;"{""coordinates"": [145.3588330248, -38.025323004], ""type"": ""Point""}";-38.02532300404706;145.35883302475435;Inglis Road;2022;More than 60km/h;W;2022-08-24;355955;5790105;MGA2020 zone 55;3806;66.5;6096;7188;5.78;11.75;492
-38.008107002, 145.2558250346;"{""coordinates"": [145.2558250346, -38.008107002], ""type"": ""Point""}";-38.00810700202931;145.2558250346;Wedgewood Road;2022;Between 50km/h and 60km/h;W;2022-08-24;346877;5791851;MGA2020 zone 55;3803;56.5;6372;7655;14.42;8.06;521
-38.0341290028, 145.3258780349;"{""coordinates"": [145.3258780349, -38.0341290028], ""type"": ""Point""}";-38.03412900276089;145.325878034926;Sweeney Drive;2022;Between 40km/h and 50km/h;W;2022-08-24;353080;5789077;MGA2020 zone 55;3805;44.8;671;765;2.32;20.0;530
-38.110582003, 145.2836940216;"{""coordinates"": [145.2836940216, -38.110582003], ""type"": ""Point""}";-38.11058200299483;145.283694021564;Bakewell Street;2021;Between 40km/h and 50km/h;W;2021-11-15;349534;5780525;MGA2020 zone 55;3977;43.5;1474;1605;2.73;20.01;549
-38.1099500039, 145.2867210277;"{""coordinates"": [145.2867210277, -38.1099500039], ""type"": ""Point""}";-38.10995000388454;145.286721027662;Lyall Street;2021;Between 40km/h and 50km/h;W;2021-11-15;349798;5780600;MGA2020 zone 55;3977;42.6;1111;1539;4.72;12.69;558
-38.1095980032, 145.2838030244;"{""coordinates"": [145.2838030244, -38.1095980032], ""type"": ""Point""}";-38.10959800324103;145.28380302440112;Lyall Street;2021;Between 40km/h and 50km/h;W;2021-11-15;349542;5780635;MGA2020 zone 55;3977;40.6;1630;1941;4.49;11.11;560
-38.1082940038, 145.2851010295;"{""coordinates"": [145.2851010295, -38.1082940038], ""type"": ""Point""}";-38.10829400381233;145.28510102954192;Stawell Street;2021;Less than 30km/h;W;2021-11-15;349653;5780782;MGA2020 zone 55;3977;24.7;5073;5873;5.76;10.84;564
-38.1364272614, 145.2563143644;"{""coordinates"": [145.2563143644, -38.1364272614], ""type"": ""Point""}";-38.13642726143892;145.25631436444948;Settlers Run;2018;Between 40km/h and 50km/h;W;2018-05-10;347187;5777613;MGA2020 zone 55;3977;48.5;2217;2757;6.53;8.85;592
-38.0785901882, 145.3334127078;"{""coordinates"": [145.3334127078, -38.0785901882], ""type"": ""Point""}";-38.07859018823735;145.3334127078385;Alisma Boulevard;2020;Between 50km/h and 60km/h;W;2020-02-13;353829;5784155;MGA2020 zone 55;3977;55.3;2222;3228;1.21;8.43;608
-37.9698410547, 145.2538179125;"{""coordinates"": [145.2538179125, -37.9698410547], ""type"": ""Point""}";-37.969841054749814;145.2538179125434;Grove End Road;2019;Between 50km/h and 60km/h;W;2019-05-30;346621;5796094;MGA2020 zone 55;3802;55.5;645;849;1.4;10.72;636
-38.0247726041, 145.2996324851;"{""coordinates"": [145.2996324851, -38.0247726041], ""type"": ""Point""}";-38.024772604112684;145.29963248510762;Valley Fair Dve;2020;Between 40km/h and 50km/h;W;2020-02-13;350757;5790073;MGA2020 zone 55;3805;41.0;721;874;4.0;13.39;680
-38.092918055, 145.2556151135;"{""coordinates"": [145.2556151135, -38.092918055], ""type"": ""Point""}";-38.09291805501161;145.25561511353834;Evans Road, Cranbourne West;2020;More than 60km/h;W;2020-02-13;347035;5782440;MGA2020 zone 55;3977;73.6;13974;19078;2.89;9.2;692
-38.0633583599, 145.2450666709;"{""coordinates"": [145.2450666709, -38.0633583599], ""type"": ""Point""}";-38.06335835994948;145.24506667085018;Glasscocks Road;2019;More than 60km/h;W;2019-11-12;346048;5785702;MGA2020 zone 55;3975;68.4;4748;6215;6.23;11.02;695
-38.0882413693, 145.2847476862;"{""coordinates"": [145.2847476862, -38.0882413693], ""type"": ""Point""}";-38.0882413693109;145.28474768624886;Majestic Boulevard;2020;Between 40km/h and 50km/h;W;2020-02-13;349581;5783006;MGA2020 zone 55;3977;42.4;2964;3724;1.9;13.64;725
-38.077063096, 145.2604927404;"{""coordinates"": [145.2604927404, -38.077063096], ""type"": ""Point""}";-38.07706309599419;145.26049274041048;Merinda Park Boulevard;2019;More than 60km/h;W;2019-10-13;347430;5784207;MGA2020 zone 55;3975;62.2;790;1053;3.66;12.01;727
-38.0422868482, 145.2731487918;"{""coordinates"": [145.2731487918, -38.0422868482], ""type"": ""Point""}";-38.0422868481703;145.27314879181858;Springfield Crescent;2019;Between 50km/h and 60km/h;W;2019-11-20;348469;5788087;MGA2020 zone 55;3976;50.7;276;370;1.81;11.28;735
-38.0532319761, 145.3569723639;"{""coordinates"": [145.3569723639, -38.0532319761], ""type"": ""Point""}";-38.053231976138306;145.3569723638905;Soldiers Road;2019;More than 60km/h;W;2019-02-23;355846;5787006;MGA2020 zone 55;3806;62.2;14957;18974;4.04;10.22;808
-38.0303851198, 145.3480426654;"{""coordinates"": [145.3480426654, -38.0303851198], ""type"": ""Point""}";-38.03038511979619;145.34804266541627;Wheeler Street;2019;Between 40km/h and 50km/h;W;2019-05-21;355018;5789527;MGA2020 zone 55;3806;40.0;5381;6653;3.1;8.97;814
-38.2098351755, 145.3144455287;"{""coordinates"": [145.3144455287, -38.2098351755], ""type"": ""Point""}";-38.20983517546065;145.31444552866066;Cannons Creek Road;2018;Between 50km/h and 60km/h;W;2018-09-12;352430;5769561;MGA2020 zone 55;3977;57.8;356;437;3.93;11.9;816
-38.0586608305, 145.360486431;"{""coordinates"": [145.360486431, -38.0586608305], ""type"": ""Point""}";-38.05866083048189;145.36048643095717;Kingsmere Drive;2021;Between 50km/h and 60km/h;w;2021-04-20;356165;5786409;MGA2020 zone 55;3806;54.9;1878;2380;4.9;8.7;821
-37.9988684084, 145.2485108621;"{""coordinates"": [145.2485108621, -37.9988684084], ""type"": ""Point""}";-37.99886840838905;145.24851086212067;Waygara Street;2021;Between 50km/h and 60km/h;W;2021-03-17;346216;5792864;MGA2020 zone 55;3177;52.3;869;1048;3.3;12.0;834
-38.0271200191, 145.2666401504;"{""coordinates"": [145.2666401504, -38.0271200191], ""type"": ""Point""}";-38.02712001905719;145.2666401503855;The Grange;2021;Between 50km/h and 60km/h;W;2021-03-17;347866;5789759;MGA2020 zone 55;3976;51.3;226;313;2.6;8.6;841
-38.0663924301, 145.2970627097;"{""coordinates"": [145.2970627097, -38.0663924301], ""type"": ""Point""}";-38.066392430085116;145.29706270973483;Tangerine Drive;2021;Between 50km/h and 60km/h;W;2021-03-24;350616;5785451;MGA2020 zone 55;3805;54.5;904;1250;3.5;8.6;847
-38.0008570898, 145.3385465052;"{""coordinates"": [145.3385465052, -38.0008570898], ""type"": ""Point""}";-38.00085708983519;145.33854650523696;Peak Drive Harkaway;2021;Between 50km/h and 60km/h;W;2021-03-26;354126;5792788;MGA2020 zone 55;3806;52.1;252;307;13.4;9.1;851
-38.0257514886, 145.265101233;"{""coordinates"": [145.265101233, -38.0257514886], ""type"": ""Point""}";-38.02575148863954;145.2651012330445;Oaktree Drive;2021;Between 50km/h and 60km/h;W;2021-03-17;347728;5789908;MGA2020 zone 55;3976;52.7;1340;1838;8.1;8.2;854
-38.111934965, 145.2481320562;"{""coordinates"": [145.2481320562, -38.111934965], ""type"": ""Point""}";-38.11193496498475;145.2481320561883;Hayton Park Boulevard;2021;Between 50km/h and 60km/h;W;2021-03-26;346419;5780317;MGA2020 zone 55;3977;54.6;1461;1894;4.4;9.41;870
-38.1072084285, 145.3010645472;"{""coordinates"": [145.3010645472, -38.1072084285], ""type"": ""Point""}";-38.10720842846488;145.30106454718978;Broad Oak Drive;2021;Between 50km/h and 60km/h;W;2021-03-25;351050;5780928;MGA2020 zone 55;3977;55.5;3446;4223;6.3;13.15;881
-38.097844587, 145.2576074341;"{""coordinates"": [145.2576074341, -38.097844587], ""type"": ""Point""}";-38.09784458698051;145.2576074340697;Bernborough Avenue;2021;Between 50km/h and 60km/h;W;2021-03-26;347220;5781896;MGA2020 zone 55;3977;53.2;812;1034;2.4;9.87;888
-38.0670954232, 145.3237778148;"{""coordinates"": [145.3237778148, -38.0670954232], ""type"": ""Point""}";-38.06709542323495;145.32377781477513;Armitage Drive;2021;Between 50km/h and 60km/h;W;2021-03-25;352961;5785415;MGA2020 zone 55;3805;56.2;307;391;7.6;10.68;892
-38.0418564914, 145.310695964;"{""coordinates"": [145.310695964, -38.0418564914], ""type"": ""Point""}";-38.04185649135877;145.31069596402574;Player Drive;2019;Between 40km/h and 50km/h;W;2019-03-19;351763;5788195;MGA2020 zone 55;3805;44.0;435;621;2.6;8.86;937
-38.0490312308, 145.2940380962;"{""coordinates"": [145.2940380962, -38.0490312308], ""type"": ""Point""}";-38.0490312307902;145.2940380962041;Sneddon Drive;2018;Between 40km/h and 50km/h;W;2018-03-02;350315;5787372;MGA2020 zone 55;3805;48.4;1387;1653;5.99;16.27;981
-38.0939059774, 145.2698090962;"{""coordinates"": [145.2698090962, -38.0939059774], ""type"": ""Point""}";-38.093905977375236;145.26980909621463;Roberts Road;2019;Between 40km/h and 50km/h;W;2019-05-30;348282;5782353;MGA2020 zone 55;3977;47.8;210;279;2.2;9.32;1005
-38.0146671398, 145.2759371399;"{""coordinates"": [145.2759371399, -38.0146671398], ""type"": ""Point""}";-38.01466713975821;145.27593713990004;Cheshunt Drive;2022;Between 50km/h and 60km/h;W;2022-10-21;348656;5791156;MGA2020 zone 55;3803;53.6;366;456;14.96;11.85;1030
-37.9800111371, 145.3171931432;"{""coordinates"": [145.3171931432, -37.9800111371], ""type"": ""Point""}";-37.980011137096135;145.31719314324118;Main Street;2022;Between 50km/h and 60km/h;W;2022-11-05;352209;5795068;MGA2020 zone 55;3804;57.24;983;1140;23.84;14.44;1049
-38.1087611376, 145.2991781545;"{""coordinates"": [145.2991781545, -38.1087611376], ""type"": ""Point""}";-38.10876113755774;145.29917815445575;Scotsdale Drive;2023;Between 50km/h and 60km/h;W;2023-02-07;350888;5780752;MGA2020 zone 55;3977;57.7;2866;3672;5.06;10.68;1067
-37.9951211348, 145.3486651504;"{""coordinates"": [145.3486651504, -37.9951211348], ""type"": ""Point""}";-37.99512113480374;145.34866515041577;Harkaway Road;2023;More than 60km/h;W;2023-02-07;355003;5793441;MGA2020 zone 55;3806;77.4;7063;8945;3.35;9.31;1090
-38.0486111411, 145.2543601399;"{""coordinates"": [145.2543601399, -38.0486111411], ""type"": ""Point""}";-38.04861114105012;145.25436013990506;Gilmore Crescent;2023;Between 40km/h and 50km/h;W;2023-02-07;346833;5787354;MGA2020 zone 55;3975;43.6;467;606;6.17;9.61;1092
-38.1166651343, 145.3446591633;"{""coordinates"": [145.3446591633, -38.1166651343], ""type"": ""Point""}";-38.116665134333125;145.34465916331015;Bundaleer Lane;2023;Less than 30km/h;W;2023-05-09;354891;5779947;MGA2020 zone 55;3978;28.3;24;33;8.33;21.05;1131
-38.0888681346, 145.34336916;"{""coordinates"": [145.34336916, -38.0888681346], ""type"": ""Point""}";-38.08886813459481;145.34336915997147;Laker Boulevard;2023;Between 50km/h and 60km/h;W;2023-07-26;354723;5783030;MGA2020 zone 55;3978;51.9;2729;3277;8.89;11.38;1170
-38.0822041338, 145.3552531613;"{""coordinates"": [145.3552531613, -38.0822041338], ""type"": ""Point""}";-38.082204133804765;145.35525316130548;Elmtree Crescent;2023;Less than 30km/h;W;2023-07-26;355752;5783788;MGA2020 zone 55;3978;29.2;40;48;6.21;13.33;1174
-38.0558791368, 145.3145991512;"{""coordinates"": [145.3145991512, -38.0558791368], ""type"": ""Point""}";-38.05587913680823;145.31459915124978;Wood Road;2023;Between 50km/h and 60km/h;W;2023-07-26;352133;5786645;MGA2020 zone 55;3805;50.9;4411;5567;4.93;10.79;1208
-37.97358, 145.272954;"{""coordinates"": [145.272954, -37.97358], ""type"": ""Point""}";-37.97357999999622;145.27295399999716;Reema Boulevard;2023;Between 40km/h and 50km/h;W;2023-10-25;348310;5795710;MGA2020 zone 55;3802;48.2;1414;1796;4.19;205.0;1246
-38.206851, 145.234886;"{""coordinates"": [145.234886, -38.206851], ""type"": ""Point""}";-38.206850999995986;145.2348859999968;Hasting Street;2023;Between 30km/h and 40km/h;W;2023-10-19;345458;5769762;MGA2020 zone 55;3912;32.5;537;646;3.85;60.0;1260
-38.067076, 145.323782;"{""coordinates"": [145.323782, -38.067076], ""type"": ""Point""}";-38.06707599999629;145.3237819999975;Armitage Drive;2024;Between 40km/h and 50km/h;W;2024-02-07;352962;5785417;MGA2020 zone 55;3805;47.4;266;341;5.04;39.0;1265
-38.098289, 145.28457;"{""coordinates"": [145.28457, -38.098289], ""type"": ""Point""}";-38.09828899999619;145.28456999999725;Camms Road;2024;Between 50km/h and 60km/h;W;2024-02-05;349586;5781891;MGA2020 zone 55;3977;51.6;9340;13401;8.94;1017.0;1272
-38.063897, 145.314036;"{""coordinates"": [145.314036, -38.063897], ""type"": ""Point""}";-38.06389699999628;145.31403599999743;Heritage Drive;2024;Between 40km/h and 50km/h;W;2024-02-07;352100;5785755;MGA2020 zone 55;3805;46.4;1525;1950;6.45;280.0;1288
-38.006698, 145.279064;"{""coordinates"": [145.279064, -38.006698], ""type"": ""Point""}";-38.006697999996234;145.27906399999716;Fitzgerald Road;2024;Between 50km/h and 60km/h;W;2024-05-17;348915;5792045;MGA2020 zone 55;3803;50.5;3694;4827;4.88;414.0;1341
-38.003229, 145.281158;"{""coordinates"": [145.281158, -38.003229], ""type"": ""Point""}";-38.00322899999623;145.2811579999972;Nettle Drive;2024;Between 50km/h and 60km/h;W;2024-05-17;349091;5792434;MGA2020 zone 55;3803;55.1;1577;1916;3.31;265.0;1357
-38.143452, 145.258974;"{""coordinates"": [145.258974, -38.143452], ""type"": ""Point""}";-38.1434519999961;145.25897399999707;Sandstone Drive;2024;Between 40km/h and 50km/h;W;2024-05-10;347435;5776838;MGA2020 zone 55;3977;49.6;121;141;3.09;21.0;1369
-38.008815, 145.305418;"{""coordinates"": [145.305418, -38.008815], ""type"": ""Point""}";-38.00881499999629;145.3054179999974;Columbia Road;2024;Between 50km/h and 60km/h;W;2024-08-17;351233;5791853;MGA2020 zone 55;3805;55.1;806;998;5.3;9.71;1401
-38.11965, 145.292762;"{""coordinates"": [145.292762, -38.11965], ""type"": ""Point""}";-38.11964999999619;145.29276199999728;Annabella Street;2024;Between 50km/h and 60km/h;W;2024-10-23;350348;5779534;MGA2020 zone 55;3977;53.8;1125;1393;17.6;10.3;1458
-38.081828, 145.330595;"{""coordinates"": [145.330595, -38.081828], ""type"": ""Point""}";-38.0818279999963;145.3305949999975;Arbourlea Boulevard;2024;Between 50km/h and 60km/h;W;2024-10-23;353589;5783791;MGA2020 zone 55;3977;56.5;2678;3267;2.9;13.2;1459
-38.03264, 145.351675;"{""coordinates"": [145.351675, -38.03264], ""type"": ""Point""}";-38.032639999996384;145.3516749999977;Marygate Pl;2024;Less than 30km/h;W;2024-07-23;355341;5789282;MGA2020 zone 55;3806;20.5;15;19;3.1;15.8;1503
-38.0769495, 145.323705;"{""coordinates"": [145.323705, -38.0769495], ""type"": ""Point""}";-38.07694949999629;145.3237049999975;Mountainview Boulevard;2024;Between 50km/h and 60km/h;W;2024-10-23;352975;5784322;MGA2020 zone 55;3977;57.5;1961;2578;4.4;12.6;1511
-38.004626, 145.262232;"{""coordinates"": [145.262232, -38.004626], ""type"": ""Point""}";-38.00462599999618;145.2622319999971;Princes Highway Service Road;2024;More than 60km/h;W;2024-10-22;347432;5792248;MGA2020 zone 55;3803;60.6;210;253;4.1;43.7;1515
-38.0772070227, 145.2921831578;"{""coordinates"": [145.2921831578, -38.0772070227], ""type"": ""Point""}";-38.07720702266571;145.292183157834;Hamilton Drive;2019;Between 50km/h and 60km/h;W;2019-03-20;350210;5784243;MGA2020 zone 55;3977;54.0;328;420;3.3;15.71;20
-38.0394105974, 145.3189108272;"{""coordinates"": [145.3189108272, -38.0394105974], ""type"": ""Point""}";-38.03941059738167;145.31891082719338;Fleetwood Drive;2018;Between 50km/h and 60km/h;W;2018-06-23;352479;5788479;MGA2020 zone 55;3805;50.0;2750;3318;5.04;12.09;30
-38.0628388879, 145.301708809;"{""coordinates"": [145.301708809, -38.0628388879], ""type"": ""Point""}";-38.062838887899225;145.30170880904873;Galloway Drive;2019;Between 40km/h and 50km/h;W;2019-05-30;351017;5785852;MGA2020 zone 55;3805;43.7;913;1135;3.4;15.51;34
-37.9840385851, 145.2617042956;"{""coordinates"": [145.2617042956, -37.9840385851], ""type"": ""Point""}";-37.98403858514291;145.26170429561557;William Hovell Drive;2018;More than 60km/h;W;2018-06-23;347343;5794531;MGA2020 zone 55;3802;60.2;594;715;4.43;14.27;45
-38.0820042344, 145.2933297208;"{""coordinates"": [145.2933297208, -38.0820042344], ""type"": ""Point""}";-38.082004234447055;145.29332972083077;Jessie Street;2019;Between 40km/h and 50km/h;W;2019-08-26;350321;5783712;MGA2020 zone 55;3977;42.9;1001;1205;3.8;14.97;49
-38.0659245338, 145.3075042355;"{""coordinates"": [145.3075042355, -38.0659245338], ""type"": ""Point""}";-38.06592453377202;145.30750423547818;The Promenade;2018;Between 40km/h and 50km/h;W;2018-05-09;351531;5785519;MGA2020 zone 55;3805;49.0;1349;1566;4.5;24.84;59
-38.0578787223, 145.2855939436;"{""coordinates"": [145.2855939436, -38.0578787223], ""type"": ""Point""}";-38.057878722330635;145.28559394363916;Kershaw Drive;2020;Between 50km/h and 60km/h;W;2020-02-13;349593;5786377;MGA2020 zone 55;3805;55.2;1493;2008;7.8;15.09;119
-38.0026270416, 145.2578565262;"{""coordinates"": [145.2578565262, -38.0026270416], ""type"": ""Point""}";-38.00262704164584;145.25785652622446;Harmer Road;2019;Between 50km/h and 60km/h;W;2019-05-22;347044;5792462;MGA2020 zone 55;3803;51.0;2595;3243;7.5;12.33;123
-38.0266890033, 145.3725570043;"{""coordinates"": [145.3725570043, -38.0266890033], ""type"": ""Point""}";-38.02668900333762;145.37255700432175;Inglis Road;2022;More than 60km/h;W;2022-02-22;357162;5789975;MGA2020 zone 55;3806;75.1;5718;6858;9.74;11.37;317
-38.0242960036, 145.3515360341;"{""coordinates"": [145.3515360341, -38.0242960036], ""type"": ""Point""}";-38.0242960036472;145.35153603414295;Gardiner Street;2022;Between 50km/h and 60km/h;W;2022-02-22;355312;5790208;MGA2020 zone 55;3806;53.4;2900;3419;8.49;12.91;321
-38.1341700014, 145.3294860211;"{""coordinates"": [145.3294860211, -38.1341700014], ""type"": ""Point""}";-38.13417000142372;145.3294860211138;Ballarto Road;2022;Between 50km/h and 60km/h;W;2022-02-22;353596;5777981;MGA2020 zone 55;3978;52.2;410;495;15.21;10.86;340
-38.1011330053, 145.2863990482;"{""coordinates"": [145.2863990482, -38.1011330053], ""type"": ""Point""}";-38.101133005347876;145.2863990482096;Loch Street;2022;Between 40km/h and 50km/h;W;2022-08-24;349752;5781578;MGA2020 zone 55;3977;49.4;852;1044;2.59;9.7;503
-38.0971320053, 145.2812990365;"{""coordinates"": [145.2812990365, -38.0971320053], ""type"": ""Point""}";-38.09713200525679;145.2812990365234;Cranbourne Place;2022;Between 30km/h and 40km/h;W;2022-08-24;349296;5782014;MGA2020 zone 55;3977;34.2;1129;1334;5.61;11.61;504
-38.0401997203, 145.2788198238;"{""coordinates"": [145.2788198238, -38.0401997203], ""type"": ""Point""}";-38.040199720331486;145.27881982382502;James Wyman Place;2019;Between 40km/h and 50km/h;W;2019-11-12;348962;5788328;MGA2020 zone 55;3976;47.4;571;802;2.03;9.65;22
-38.1023425517, 145.2555548637;"{""coordinates"": [145.2555548637, -38.1023425517], ""type"": ""Point""}";-38.10234255171089;145.2555548636943;Duff Street;2019;More than 60km/h;W;2019-09-02;347050;5781394;MGA2020 zone 55;3977;60.8;3812;4818;3.1;10.47;170
-38.0155399202, 145.3372158126;"{""coordinates"": [145.3372158126, -38.0155399202], ""type"": ""Point""}";-38.01553992023116;145.33721581256398;Whilster Drive;2021;Between 40km/h and 50km/h;W;2021-03-26;354038;5791157;MGA2020 zone 55;3806;49.2;579;713;6.4;9.85;177
