Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Road Name;Installed Year;Range;Counter Type;Installed Date;Easting Coordinate;Northing Coordinate;Projection;Postcode;85th Percentile (Kmh);Volume in 12Hours;Volume in 24Hours;Commercial Vehicles (%);Peak Volume (%);GISFid
-38.0944641321, 145.2982146773;"{""coordinates"": [145.2982146773, -38.0944641321], ""type"": ""Point""}";-38.09446413212126;145.29821467731134;Villager Drive;2021;Between 30km/h and 40km/h;W;2021-03-25;350774;5782337;MGA2020 zone 55;3977;38.1;156;208;5.0;10.55;179
-38.0590366947, 145.3572772844;"{""coordinates"": [145.3572772844, -38.0590366947], ""type"": ""Point""}";-38.05903669468679;145.35727728439076;Soldiers Road;2021;More than 60km/h;W;2021-04-20;355884;5786362;MGA2020 zone 55;3806;61.7;11136;13516;2.9;10.08;182
-38.0139572285, 145.3379758498;"{""coordinates"": [145.3379758498, -38.0139572285], ""type"": ""Point""}";-38.01395722849565;145.33797584976668;Caserta Drive;2021;More than 60km/h;W;2021-03-26;354101;5791334;MGA2020 zone 55;3806;60.5;454;561;5.0;9.15;187
-38.1168351947, 145.3438685063;"{""coordinates"": [145.3438685063, -38.1168351947], ""type"": ""Point""}";-38.116835194660894;145.34386850629406;Bundaleer Lane;2021;Less than 30km/h;W;2021-03-23;354822;5779927;MGA2020 zone 55;3978;25.3;101;131;2.9;11.27;191
-38.1127771543, 145.2543191288;"{""coordinates"": [145.2543191288, -38.1127771543], ""type"": ""Point""}";-38.112777154282405;145.25431912877258;Sparrow Street;2021;Less than 30km/h;W;2021-04-23;346963;5780234;MGA2020 zone 55;3977;27.7;131;151;3.8;12.3;204
-38.0348820904, 145.2480651896;"{""coordinates"": [145.2480651896, -38.0348820904], ""type"": ""Point""}";-38.03488209040399;145.24806518956106;Robjant Street;2021;More than 60km/h;W;2021-03-26;346252;5788867;MGA2020 zone 55;3976;62.0;610;850;9.7;9.38;214
-38.0517806248, 145.2834565301;"{""coordinates"": [145.2834565301, -38.0517806248], ""type"": ""Point""}";-38.05178062478222;145.28345653014807;Langbourne Drive;2021;Between 50km/h and 60km/h;W;2021-04-20;349393;5787050;MGA2020 zone 55;3805;52.8;1451;1914;6.3;13.69;223
-38.0802354106, 145.3588582976;"{""coordinates"": [145.3588582976, -38.0802354106], ""type"": ""Point""}";-38.0802354106486;145.35885829758269;Como Parade;2021;Between 50km/h and 60km/h;W;2021-03-23;356065;5784012;MGA2020 zone 55;3978;55.0;1071;1398;4.9;10.2;241
-38.0761880032, 145.2465900309;"{""coordinates"": [145.2465900309, -38.0761880032], ""type"": ""Point""}";-38.07618800315576;145.2465900308943;Brookwater Parade;2022;Between 50km/h and 60km/h;W;2022-02-22;346209;5784281;MGA2020 zone 55;3975;52.3;1416;1753;3.49;10.18;281
-38.0274800004, 145.3027600317;"{""coordinates"": [145.3027600317, -38.0274800004], ""type"": ""Point""}";-38.027480000401695;145.3027600317474;Webb Street;2022;Between 30km/h and 40km/h;W;2022-02-22;351037;5789778;MGA2020 zone 55;3805;38.5;9829;13157;2.74;7.73;290
