ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON;modified_weight_km
35106;3295;-37.9984793525;145.2712396078;-37.9984866579;145.2713514933;0.0098375191197863
35107;3295;-37.9984866579;145.2713514933;-37.9984103387;145.2718829269;0.0473336401349141
35108;3296;-38.1284076429;145.3787639709;-38.1284904255;145.3793251878;0.0499447265706646
35109;3296;-38.1284904255;145.3793251878;-38.1286013814;145.3795850499;0.0258624606142773
35110;3296;-38.1286013814;145.3795850499;-38.128632599;145.379658163;0.0072764752227439
35111;3297;-38.0292283221;145.2555337498;-38.0292821619;145.2559414635;0.0380195565475441
35112;3297;-38.0292821619;145.2559414635;-38.0292932163;145.256025177;0.0078063285145217
35113;3298;-38.0211446853;145.325945273;-38.0211211726;145.3260245599;0.0077921947369738
35114;3298;-38.0211211726;145.3260245599;-38.0210697104;145.326198094;0.0170546843942405
35115;3298;-38.0210697104;145.326198094;-38.0210431669;145.3262583724;0.0063516197019414
35116;3298;-38.0210431669;145.3262583724;-38.0210043159;145.3263094753;0.0065321227361762
35117;3298;-38.0210043159;145.3263094753;-38.0209040111;145.326414214;0.0151642803859384
35118;3298;-38.0209040111;145.326414214;-38.0208544652;145.3264555443;0.0069220001930041
35119;3298;-38.0208544652;145.3264555443;-38.020818158;145.3264755565;0.0046214191855847
35120;3298;-38.020818158;145.3264755565;-38.0207653808;145.3264924107;0.0063539921478791
35121;3298;-38.0207653808;145.3264924107;-38.0202081824;145.326603093;0.06584724793144
35122;3298;-38.0202081824;145.326603093;-38.0201667445;145.3262627758;0.031673584347725
35123;3298;-38.0201667445;145.3262627758;-38.0201644468;145.3261627978;0.0091997519790566
35124;3298;-38.0201644468;145.3261627978;-38.0201696178;145.3260964038;0.0061366003219654
35125;3298;-38.0201696178;145.3260964038;-38.0201872793;145.3259989369;0.0091989677869682
35126;3298;-38.0201872793;145.3259989369;-38.020205494;145.3259363345;0.0061382521885957
35127;3298;-38.020205494;145.3259363345;-38.0203140469;145.3256432099;0.0297915456705416
35128;3298;-38.0203140469;145.3256432099;-38.0203262796;145.3256145408;0.0029988787855694
35129;3298;-38.0203262796;145.3256145408;-38.0203516323;145.3255707819;0.004996147164386
35130;3298;-38.0203516323;145.3255707819;-38.0203664418;145.325551122;0.0025019212555141
35131;3298;-38.0203664418;145.325551122;-38.0203997879;145.3255169644;0.0050028534067634
35132;3298;-38.0203997879;145.3255169644;-38.0204372568;145.325490522;0.0050052946033616
35133;3298;-38.0204372568;145.325490522;-38.0205281452;145.3254493587;0.0112668443372747
35134;3298;-38.0205281452;145.3254493587;-38.0205827329;145.3254190395;0.0069567738038358
35135;3298;-38.0205827329;145.3254190395;-38.0206356128;145.3253842253;0.0069549761555831
35136;3298;-38.0206356128;145.3253842253;-38.0206911586;145.325340716;0.0076205921067503
35137;3298;-38.0206911586;145.325340716;-38.0207020536;145.3253321819;0.0014947362474847
35138;3299;-38.0605415641;145.346524512;-38.0605877125;145.3468984879;0.0347984812926725
35139;3299;-38.0605877125;145.3468984879;-38.0602908923;145.3469570557;0.0350708827868371
35140;3299;-38.0602908923;145.3469570557;-38.0600942747;145.3469835409;0.023084778194795
35141;3299;-38.0600942747;145.3469835409;-38.0599021201;145.3469894239;0.0224414649838509
35142;3299;-38.0599021201;145.3469894239;-38.0597643689;145.3469777129;0.0161190883112825
35143;3299;-38.0597643689;145.3469777129;-38.0596259417;145.3469597791;0.0162458909168633
35144;3299;-38.0596259417;145.3469597791;-38.0595816707;145.3469492815;0.0052581615522086
35145;3299;-38.0595816707;145.3469492815;-38.0595124412;145.3469328659;0.0082225330375383
35146;3299;-38.0595124412;145.3469328659;-38.0605877125;145.3468984879;0.125582720398237
35147;3299;-38.0605877125;145.3468984879;-38.0606235333;145.3471888728;0.027020092336222
35148;3300;-38.0121036614;145.3115519502;-38.0120905011;145.3114422369;0.0097225574685054
35149;3300;-38.0120905011;145.3114422369;-38.0120327381;145.310960695;0.0426732515022268
35150;3300;-38.0120327381;145.310960695;-38.0120311906;145.310869546;0.0079872736261367
35151;3300;-38.0120311906;145.310869546;-38.0120391752;145.3108018705;0.0059950514328217
35152;3300;-38.0120391752;145.3108018705;-38.0120560414;145.3107319658;0.0064049639436592
35153;3300;-38.0120560414;145.3107319658;-38.0120812845;145.3106662291;0.0064066980492472
35154;3300;-38.0120812845;145.3106662291;-38.0121142954;145.3106062291;0.0064112735931443
35155;3300;-38.0121142954;145.3106062291;-38.0121402361;145.3105701589;0.0042785630811828
35156;3300;-38.0121402361;145.3105701589;-38.0121843427;145.3105229018;0.0064182526143657
35157;3300;-38.0121843427;145.3105229018;-38.0122167446;145.3104964688;0.004282962896182
35158;3300;-38.0122167446;145.3104964688;-38.0122689714;145.310465119;0.0064240663590201
35159;3300;-38.0122689714;145.310465119;-38.0123056595;145.3104501022;0.0042864153067286
35160;3300;-38.0123056595;145.3104501022;-38.0123433898;145.3104399526;0.0042886110787339
35161;3300;-38.0123433898;145.3104399526;-38.0134463031;145.3102211692;0.1241271272193131
35162;3300;-38.0134463031;145.3102211692;-38.0137863795;145.3109116109;0.0820350555029396
35163;3300;-38.0137863795;145.3109116109;-38.0137863795;145.3109116109;0.0
35164;3300;-38.0137863795;145.3109116109;-38.0138312524;145.3110027154;0.0108245541791483
35165;3301;-37.9951076343;145.3144442069;-37.9959986751;145.3142591557;0.1054172788980802
35166;3301;-37.9959986751;145.3142591557;-37.9967219666;145.313991921;0.0963309742374621
35167;3301;-37.9967219666;145.313991921;-37.9968508915;145.3139442865;0.0149310989129598
35168;3302;-38.0621494361;145.2940875756;-38.0622213285;145.2940741912;0.010503343049206
35169;3302;-38.0622213285;145.2940741912;-38.0630005125;145.2939291269;0.1138373134088455
35170;3302;-38.0630005125;145.2939291269;-38.063166032;145.2938310596;0.0264016141545219
35171;3303;-38.1189305158;145.2561467755;-38.1187017421;145.2557838146;0.0435741573845141
35172;3303;-38.1187017421;145.2557838146;-38.1186846453;145.2557684955;0.002491090688872
35173;3303;-38.1186846453;145.2557684955;-38.1186229834;145.255713245;0.0089844600783829
35174;3303;-38.1186229834;145.255713245;-38.1185687545;145.2556257916;0.0104328174499878
35175;3303;-38.1185687545;145.2556257916;-38.1182669112;145.2551390213;0.0580698797824478
35176;3303;-38.1182669112;145.2551390213;-38.1177103589;145.2543243713;0.1010880157455839
35177;3303;-38.1177103589;145.2543243713;-38.1173297428;145.2537673392;0.0691259928209416
35178;3303;-38.1173297428;145.2537673392;-38.11732948;145.2537669545;4.546216203130601e-05
35179;3303;-38.11732948;145.2537669545;-38.1172763732;145.2537022906;0.0083411199619809
35180;3303;-38.1172763732;145.2537022906;-38.1171486227;145.2535467318;0.0200653515741229
35181;3303;-38.1171486227;145.2535467318;-38.1173036878;145.2533772;0.0231982833022524
